cid,text,time,author,channel,votes,photo,heart
Ugwhc8rfHVUJZ8PdEZh4AaABAg,Year 2050: The covid Alpha Centauri variant and your mandatory 3000th booster jab is due and wear your mask!,10 dagen geleden,Ron Pagala,UCk-ZCjpr6F707Y0QWMA-ncA,0,https://yt3.ggpht.com/ytc/AKedOLSwjp0MH3AnvnkRetSAO9BbWbecWfoT2L0_dw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCCgAJ9jHZYvIyGZZ4AaABAg,Rubbish rubbish and more rubbish I'm not falling for this any more,10 dagen geleden,megan cooper,UCGfIEiGzl5SOF-Hb7uEtpuA,0,https://yt3.ggpht.com/ytc/AKedOLT_CHreK8g3gyhQagXK-HY_NVBwFAJeS0bTnqiOnA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwGOaKBhyoVQ3SN_uB4AaABAg,"THE SKY IS FALLING THE SKY IS FALLING...EVERYTHING IS A DEAD EMERGENCY TO YOU TWITS. HIDE BORIS AND YOU CAN HEAL, HIS HAIR ALONE CAN CAUSE HYPERVENTILATION OF NORMAL HUMANS. #BRITSPANICASUSUAL",10 dagen geleden,Gina Kay,UCwDAkkQnhOIGqB2ZWQD5_sw,0,https://yt3.ggpht.com/ytc/AKedOLRRR9hb5VBIzZBSeTE4HoYTVeMCyNqsMmARhOmZ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsUbkypprmqtn_eIB4AaABAg,How many deaths from it? What is your source for reporting this garbage? Who or how pathetic are you actually? Man to be you pretending to know and knowing little to nothing. Keep preaching garbage to all for all from nothing to nithingness. Now censor me and try not to let anyone see or your scum bag game will be up . Tic toc pathetic inexperienced little children tic toc.,10 dagen geleden,S T,UCdYPsK6EncJvLd8qEuLMFXw,0,https://yt3.ggpht.com/ytc/AKedOLQq1x7rPLInujUz_K8F461ULB2XpIfEtqJioA=s176-c-k-c0x00ffffff-no-rj,0.0
UgybgHHNS17MNaMaiTN4AaABAg,😂😂😂😂😂😂😂,10 dagen geleden,🌴ViceGuy,UCoPUlPyw-JpQE18f1Vj3kyg,0,https://yt3.ggpht.com/vYGrSYQTvrUobkRKGz9CgK9hf8pv_KidHBmitl8ym-lsqya3fo511y6D7MdUAf1GnnPI9e_bFw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxmii0fvDCoPlPih6N4AaABAg,"Live with covid~ this is BBC told us, just one months ago.",10 dagen geleden,Chu Welson,UCDxR-f0JvwWlqPm-rQjIzLw,0,https://yt3.ggpht.com/ytc/AKedOLRTbR8mhulASZJMf8T4jwdd1qO1CmhLry4hOQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2hcwtWeRo86LeQmJ4AaABAg,The most dangerous virus are this restrictions that are messing up the economy and creating insane amount of poverty,11 dagen geleden,Pinche gringo,UCjDoNqg10GueSzYHdDFZaTA,0,https://yt3.ggpht.com/ytc/AKedOLSOO3i8MRCF8Wkia1AH0MYi0qYLmQncXVCDwA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9pVtm_I0m1fsoqmN4AaABAg,And if you let the bbc and the corrupt politicians scare you and dictate what you do with your little time on this planet then more fool you,11 dagen geleden,Rob Jams,UCGnwi4x_L4zjpNhbZ7sFz-w,0,https://yt3.ggpht.com/ytc/AKedOLS8bYV41gtkrXntZk9Tt_l0hgpm654vXRMukypy43EN7Y9hG8RuIZ8DoKxGCpVG=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1i2XxqBNfq0ooycZ4AaABAg,"That's strange, it's only mild cases have been discovered. The bbc must have gotten the wrong info again.",11 dagen geleden,Rob Jams,UCGnwi4x_L4zjpNhbZ7sFz-w,0,https://yt3.ggpht.com/ytc/AKedOLS8bYV41gtkrXntZk9Tt_l0hgpm654vXRMukypy43EN7Y9hG8RuIZ8DoKxGCpVG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsAeKTWjg6fgp_Cmx4AaABAg,BBC is robish chanel from all the world and racist chanel in UK to match layers,11 dagen geleden,Ionuts Tarnaru,UCuN1f86xQ7iKkPGzIBau2jw,0,https://yt3.ggpht.com/ytc/AKedOLQ5ySZA8hdKh8tiCnznEntmO_r4qXQ5PBrpvQ=s176-c-k-c0x00ffffff-no-rj,0.0
