cid,text,time,author,channel,votes,photo,heart
Ugxs7zZrawJzo-AQnZB4AaABAg,"Amazing quest!! Story was amazing, battle with Susbedo was just smoother than my face and musich was holy. You seemed to keep it up with serious tone in Inazuma quest and after this Mihoyo proved themselves to be really good storyteller. I hope you can go deeper with  the Sumeru and the other regions.",2 weken geleden,ophe lie,UCv0TKq9g2lm7ic4K9mTmvCQ,4,https://yt3.ggpht.com/ytc/AKedOLReHvuToOa24U_ZLnFcXSahhk2plz5_1Gpj6JN6=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3TgwolUB2v7cu8L14AaABAg,NICE WEED BOSS,2 weken geleden,tritraklis LG,UCc0OGck4avlsmDW_TgteOng,2,https://yt3.ggpht.com/ytc/AKedOLRZ6u3XzA3LfIS9zLtd1YOX0PV7mcCOJLr7fLdMIQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjptVVC--uPpfRnUp4AaABAg,Day 1 of asking genshing devs to add dog and cat petting,2 weken geleden,bored gamer,UCGTCJx8-fr_C8lPLO03FPSg,0,https://yt3.ggpht.com/ytc/AKedOLSCwrcwisaEp4tgNG-07GYaYd--r6XhJcU_95w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwK2VrSqM1KvVBZOkt4AaABAg,I stopped playing this game because the gotcha aspect to win a cool character is tighter then a Vegas casino.,2 weken geleden,Jesse L,UC6jbeq9VSzvtaopwKjI32AA,0,https://yt3.ggpht.com/ytc/AKedOLTlio1EO4uMClTPHohtRwccXrYOCvC8VRYFsQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyM08m6xa7CuYHsKNh4AaABAg,SLOW DOWN,2 weken geleden,CoffeeBrew,UC5YiR-5eeffTdaYTA7j7QBg,0,https://yt3.ggpht.com/FRhbLh4wKh2lDOzHHQdli8u6AT_VBcmRUOcMSO7lV8Mikc-5gGTMEjj0d3APRAGl9cY1Wux-lw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzvr3RIEjTOnbS2qgt4AaABAg,This trailer hits so different after I got to the actual cutscene in the event-- u can see all of the voicelines here in the actual dialogue..... I just thought that was cool lol,2 weken geleden,:p,UC3KCD7RAlP5zsTFkP1oyAug,4,https://yt3.ggpht.com/J3aFwSWrBSQreLSKKFClPZHzuw0r-LIkV5Vj92XA9viD-QSSck0b5-dBAiPxD1utufnQJ53l7g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbQrFwcNnfVucqLld4AaABAg,"https://youtu.be/FE4oujaiEJI
watch my f2p albedo with 4 piece husk of opulent dreams and def goblet if you still haven't to decided to pull for albedo not.",2 weken geleden,M. Syahdiar,UCmrgeHTHsRKu6BFs8mgJ7tQ,0,https://yt3.ggpht.com/ytc/AKedOLSn2aZXrrKaC6hCy-pZ5mjmPTxUCnaT_JRvdoZ9IA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKTWDmDRjd1W2rKsx4AaABAg,Well done mihoyo！ Act 2 was a full of  bonding and excitement also the story telling is so good hope we can see more of it in other events in the future,2 weken geleden,Mordred Gaming,UCfQwOCGEoIOeaHl8Ggb6sVg,6,https://yt3.ggpht.com/ytc/AKedOLSdSMI0V-6OIaY2m9e3KtqGvbXA8VCFiPJn8X_BJg=s176-c-k-c0x00ffffff-no-rj,0.0
UgytKNRgIKENwbXGfyR4AaABAg,Thank Nintendo for making BoTW or Genshin Impact wouldn't exist.,2 weken geleden,Runner Go,UCxmjzmm-b0cGU2oKvffPN1Q,1,https://yt3.ggpht.com/ytc/AKedOLS95TvSA53xKzdgUtDgqBa7tfw-SdCk_7C4hQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJkcDWtzeiG2uOMiJ4AaABAg,THIS EVENT WAS INCREDIBLE I LOVED THE CUTSCENES!!!!,2 weken geleden (bewerkt),El Sketchbook de Ro,UCJE0pDyuqCq-teNj-SdiGSQ,4,https://yt3.ggpht.com/ytc/AKedOLRhYdBwVINQmOPJlICQlp6wQp7clyQFuSMKIDov9Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwV5ZHDGB0XeEZrL9x4AaABAg,AWESOME UPDATE !,2 weken geleden,Survivor 7,UC28DN7IHlrI8-zpcUaPUR3g,1,https://yt3.ggpht.com/ytc/AKedOLRrRRUEn3iBTrmmQeBG28DGMVmtxMOmtTjY8bgxrw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz11O9GMPaDWNm_Hu94AaABAg.9VVB7iiAk7b9VjkU2mxksV,So what?,7 dagen geleden,Glub,UCHXIpxdTY2K-bC9UHp4HrXg,1,https://yt3.ggpht.com/E2xIdN4NtcYCZ7WI48TYsPKk--vZ3nWP7J7USBfuy5EVXp2QPrKk7CIL3_ebcKNwEWNthMAK=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHZ-0a28zRgyPwgv94AaABAg.9VV28wCOfj89VioLffDDRC,Your phone can't handle it or no space for it,7 dagen geleden,Venti Simp,UCPhDhsvWk6tuKMsMv_enVtw,1,https://yt3.ggpht.com/jdwhE9cdEMaBXqunDFwr8tnYy_9jBMdQ_hAGWF888TSUTzZeGHpKQnG4xJF-Yi0DPRpMmbpnbA=s176-c-k-c0x00ffffff-no-rj,0.0
